source,campaign,influencer_id,user_id,product,date,orders,revenue
influencer_campaign,Q2_Promotion,18,45419f98-5c94-471e-bf20-a9d285b1fdc0,MuscleBlaze Whey,2025-07-25 08:52:31,1,28.35
influencer_campaign,Q2_Promotion,32,55e16d39-9112-4829-bb46-422496ace502,Gritzo SuperMilk,2025-07-29 08:52:01,1,67.52
influencer_campaign,Q2_Promotion,24,ff8081e3-0012-45cf-8e67-b5cf824d66c1,HKVitals Multivitamin,2025-07-25 08:54:21,1,34.6
influencer_campaign,Q2_Promotion,2,f379f99c-d7ee-4f79-be16-284b8fc6ca7b,HKVitals Multivitamin,2025-08-03 08:54:38,1,24.4
influencer_campaign,Q2_Promotion,35,d0e7aa28-75b4-4ebe-97bb-9e0c3bc597d1,Gritzo SuperMilk,2025-07-31 08:52:24,1,93.65
influencer_campaign,Q2_Promotion,11,64960ffd-b753-48fc-a8c3-296898151a2d,HKVitals Multivitamin,2025-08-02 08:52:19,1,95.91
influencer_campaign,Q2_Promotion,50,b4b8cb40-afc4-4d8e-8087-f7ea314fcf2c,HKVitals Multivitamin,2025-07-28 08:55:34,1,23.59
influencer_campaign,Q2_Promotion,34,dcae90c2-1e1f-4bbd-a854-b570a542ba0d,Gritzo SuperMilk,2025-07-26 08:55:14,1,79.15
influencer_campaign,Q2_Promotion,15,e7b9c2ca-fac6-4562-b973-36fdb4b6fbd9,Gritzo SuperMilk,2025-07-25 08:54:45,1,75.06
influencer_campaign,Q2_Promotion,6,dafa75fa-1e42-4451-a8c7-4856b6223ffa,Gritzo SuperMilk,2025-07-24 08:55:48,1,80.75
influencer_campaign,Q2_Promotion,49,1b9d3d73-171a-4738-b093-44f2f211d645,Gritzo SuperMilk,2025-07-24 08:54:16,1,97.02
influencer_campaign,Q2_Promotion,24,34d82165-cea7-43c7-9b2d-96c932ac7713,MuscleBlaze Whey,2025-07-28 08:54:21,1,96.08
influencer_campaign,Q2_Promotion,29,381e4f76-5045-4863-a506-c35acdf8e7b5,MuscleBlaze Whey,2025-07-23 08:55:14,1,32.63
influencer_campaign,Q2_Promotion,46,c163b71c-127f-4cfb-bace-f71bc7d71391,MuscleBlaze Whey,2025-07-24 08:52:13,1,70.34
influencer_campaign,Q2_Promotion,27,06419d99-6a0c-4447-b36b-ac980d99704e,MuscleBlaze Whey,2025-08-01 08:52:13,1,99.61
influencer_campaign,Q2_Promotion,47,c74cf0de-1d34-4c50-a213-94d565164318,MuscleBlaze Whey,2025-07-23 08:51:33,1,48.36
influencer_campaign,Q2_Promotion,8,ff4f116e-a1f0-4ead-9fd1-2ab246605f40,MuscleBlaze Whey,2025-08-01 08:53:34,1,39.26
influencer_campaign,Q2_Promotion,39,d1451d4e-9f1f-4ead-9689-677a53a3da7d,MuscleBlaze Whey,2025-08-01 08:56:09,1,47.44
influencer_campaign,Q2_Promotion,37,019320f6-9e75-44e2-b5c0-ec98a0f8f55b,Gritzo SuperMilk,2025-08-02 08:53:08,1,41.5
influencer_campaign,Q2_Promotion,2,14e770a4-d00b-4022-b052-a3ed55d9510e,MuscleBlaze Whey,2025-07-23 08:54:38,1,39.06
influencer_campaign,Q2_Promotion,8,0ac20ebe-d39a-4123-8986-e41eb223fb81,HKVitals Multivitamin,2025-07-26 08:52:01,1,49.54
influencer_campaign,Q2_Promotion,43,e3f9cf2d-d6eb-404b-b49f-fb88a9b650f8,Gritzo SuperMilk,2025-08-05 08:55:41,1,96.54
influencer_campaign,Q2_Promotion,21,6e4a695c-92e6-4dde-9198-7c456ef0ba19,HKVitals Multivitamin,2025-07-25 08:55:22,1,90.02
influencer_campaign,Q2_Promotion,39,0a99d5a1-1aa7-4497-a5bc-e7a7381f5a1a,MuscleBlaze Whey,2025-07-25 08:56:09,1,21.19
influencer_campaign,Q2_Promotion,39,965447f9-5434-44a3-b63e-e12ec9f54996,HKVitals Multivitamin,2025-08-04 08:51:30,1,33.04
influencer_campaign,Q2_Promotion,21,dc1320f7-e572-4e14-a1d7-533de8fdaac2,HKVitals Multivitamin,2025-07-28 08:53:34,1,46.23
influencer_campaign,Q2_Promotion,18,116e4825-73e3-47ef-a1b0-098e5512bfe0,Gritzo SuperMilk,2025-08-03 08:52:31,1,93.64
influencer_campaign,Q2_Promotion,7,ddfd3efd-af51-4307-94cb-a98bb6e0577c,Gritzo SuperMilk,2025-08-02 08:51:56,1,47.28
influencer_campaign,Q2_Promotion,9,8c6347e3-6955-4b90-b49f-f6d310120223,HKVitals Multivitamin,2025-08-05 08:54:51,1,51.58
influencer_campaign,Q2_Promotion,3,6600c80d-9b60-483e-8bbf-e36c6f0ea99b,Gritzo SuperMilk,2025-07-29 08:54:04,1,53.56
influencer_campaign,Q2_Promotion,4,00a9fe44-78a9-4836-a8e5-5f518ae8a5b6,MuscleBlaze Whey,2025-08-04 08:55:46,1,68.85
influencer_campaign,Q2_Promotion,2,b90898fe-ed64-4999-89c7-380fcf00dee6,Gritzo SuperMilk,2025-07-27 08:54:38,1,35.02
influencer_campaign,Q2_Promotion,6,98647ecf-7fb8-4dea-b0e2-f4c5c92cf0a6,MuscleBlaze Whey,2025-07-27 08:53:10,1,70.9
influencer_campaign,Q2_Promotion,36,15ad701c-1671-499f-a6b9-14a7b6d07edb,MuscleBlaze Whey,2025-08-04 08:51:54,1,53.66
influencer_campaign,Q2_Promotion,34,90de29c0-933b-4dcb-a31a-75a08859f29d,Gritzo SuperMilk,2025-07-28 08:52:43,1,63.07
influencer_campaign,Q2_Promotion,24,27cd83f3-8616-4055-a0ac-5f2ac376ea41,MuscleBlaze Whey,2025-07-30 08:56:25,1,40.07
influencer_campaign,Q2_Promotion,28,f946ef01-4e6b-400f-87af-b9d9e3ee1536,MuscleBlaze Whey,2025-08-03 08:51:34,1,96.65
influencer_campaign,Q2_Promotion,46,9e3c1fd7-749e-4100-9bf0-cad567909ac7,HKVitals Multivitamin,2025-07-29 08:56:05,1,43.05
influencer_campaign,Q2_Promotion,8,e4f7f1e4-e3ce-45bd-a776-c21f2b07556f,HKVitals Multivitamin,2025-08-02 08:51:14,1,54.01
influencer_campaign,Q2_Promotion,4,69d23eac-739b-4ce3-82d1-b9c7ac13ece5,Gritzo SuperMilk,2025-08-01 08:50:50,1,69.33
influencer_campaign,Q2_Promotion,49,2d63df42-cdf9-4c83-ace7-83e8d8e476b3,MuscleBlaze Whey,2025-08-01 08:54:16,1,53.21
influencer_campaign,Q2_Promotion,7,bfd160e4-c840-488c-9ca7-d60a424eebe9,Gritzo SuperMilk,2025-07-23 08:53:03,1,50.49
influencer_campaign,Q2_Promotion,17,637391ad-3dcc-48b7-818d-e4116c303009,HKVitals Multivitamin,2025-07-27 08:56:18,1,40.43
influencer_campaign,Q2_Promotion,36,995bc311-5e09-485b-bf4c-891bdfa4e43d,Gritzo SuperMilk,2025-07-26 08:55:40,1,41.13
